feature,importance
cvss_base_score,0.19890358369659153
reference_count,0.13990880607922426
privileges_required_NONE,0.08649156277241145
cvss_base_severity_CRITICAL,0.08136650749498893
privileges_required_LOW,0.07274741510964398
cvss_base_severity_MEDIUM,0.05795530033897371
attack_vector_NETWORK,0.04422005588144248
user_interaction_NONE,0.03525362453416047
cwe_id_CWE-94,0.030410457781327834
cvss_base_severity_HIGH,0.023762473933444776
user_interaction_REQUIRED,0.021612663630827804
attack_vector_LOCAL,0.020233639260959675
cwe_id_CWE-287,0.016435970896619294
attack_complexity_HIGH,0.01621285823536233
cwe_id_None,0.015076295047693058
cwe_id_CWE-78,0.013689599656055608
cwe_id_CWE-89,0.01345702860021151
cwe_id_CWE-306,0.01214590698752499
cwe_id_CWE-284,0.010964693942135822
cwe_id_CWE-918,0.010554307000367307
cwe_id_CWE-305,0.010532150041349499
attack_complexity_LOW,0.009303893439135132
privileges_required_HIGH,0.006481477664784953
cwe_id_CWE-79,0.0057462257156745
cvss_base_severity_LOW,0.005479592291769439
cwe_id_CWE-862,0.004747823269554624
user_interaction_PASSIVE,0.004540223612270878
cwe_id_CWE-22,0.003573777765965397
published_month,0.0032460721039095316
attack_vector_ADJACENT_NETWORK,0.0027976537650456867
cwe_id_CWE-863,0.0019261453984853797
cwe_id_CWE-200,0.0018592109218282442
cwe_id_CWE-639,0.0014171656525678587
cwe_id_CWE-20,0.0012855163475009549
user_interaction_ACTIVE,0.0011784829211245853
cwe_id_CWE-416,0.001167762026124953
cwe_id_CWE-74,0.001159850773054932
cwe_id_CWE-269,0.0010315420761604448
cwe_id_CWE-787,0.001019472854640893
cwe_id_CWE-400,0.0008883630599037484
cwe_id_CWE-502,0.0008422388333056397
cwe_id_CWE-770,0.00081936478578654
cwe_id_CWE-125,0.0007892701288046705
cwe_id_CWE-119,0.0007869715134368728
cwe_id_CWE-434,0.0006197970756572278
cwe_id_NVD-CWE-noinfo,0.0005744332944542872
cwe_id_CWE-122,0.0005150483516390032
attack_vector_ADJACENT,0.0005092100754872952
cwe_id_CWE-190,0.00040511988575244996
cwe_id_CWE-266,0.00035983968808874016
cwe_id_CWE-352,0.00028403822132945164
cwe_id_CWE-347,0.00025134808409067337
cwe_id_CWE-121,0.00023471735461147298
cwe_id_CWE-73,0.00019907082481360644
cwe_id_CWE-798,0.0001906936474889158
cwe_id_CWE-476,0.0001317862362459982
cwe_id_CWE-295,0.0001238042536157385
cwe_id_CWE-693,0.00011361582879219602
cwe_id_CWE-285,0.00011338172647797129
cwe_id_CWE-77,0.00010120163084509451
cwe_id_CWE-362,8.673658200660412e-05
cwe_id_CWE-120,8.588718687390711e-05
cwe_id_CWE-345,7.755483560684729e-05
cwe_id_CWE-367,7.089253179111199e-05
cwe_id_CWE-59,6.54463120386042e-05
cwe_id_CWE-674,5.653600159192418e-05
cwe_id_CWE-248,4.6579306543664255e-05
cwe_id_CWE-444,4.470840154026722e-05
cwe_id_CWE-908,4.126973563085967e-05
cwe_id_CWE-290,3.8056805088123754e-05
cwe_id_CWE-407,3.773982876718936e-05
cwe_id_CWE-1336,3.769849293847408e-05
cwe_id_CWE-789,3.5836114306776034e-05
cwe_id_CWE-346,3.442997159292759e-05
cwe_id_CWE-98,3.4403717208066146e-05
cwe_id_CWE-93,3.078777721758864e-05
cwe_id_CWE-843,3.0251556784380488e-05
cwe_id_CWE-88,2.4388177241697774e-05
cwe_id_CWE-943,2.2739884627225646e-05
attack_vector_PHYSICAL,2.238508451217729e-05
cwe_id_CWE-613,2.1823860160916497e-05
cwe_id_CWE-307,2.1074487323185012e-05
cwe_id_CWE-184,2.084977978382186e-05
cwe_id_CWE-321,1.9376002794851348e-05
cwe_id_CWE-640,1.7949653682558224e-05
cwe_id_CWE-522,1.7359571378008995e-05
cwe_id_CWE-208,1.615972301205773e-05
cwe_id_CWE-312,1.5104422492584673e-05
cwe_id_CWE-1333,1.4725284083839833e-05
cwe_id_CWE-178,1.3903182652228197e-05
cwe_id_CWE-835,1.3125462134768535e-05
cwe_id_CWE-915,1.232956369288234e-05
cwe_id_CWE-288,1.2317341557524357e-05
cwe_id_CWE-319,1.1257894973502796e-05
cwe_id_CWE-601,1.0083567823994643e-05
cwe_id_CWE-294,1.0075873198953139e-05
cwe_id_CWE-250,7.330993075933737e-06
cwe_id_CWE-95,6.91112903881711e-06
cwe_id_CWE-912,6.868491972778601e-06
cwe_id_CWE-1021,6.452597505794625e-06
cwe_id_CWE-754,6.361745016071207e-06
cwe_id_CWE-404,6.092985618940879e-06
cwe_id_CWE-506,5.856395482452624e-06
cwe_id_CWE-116,5.668480490331218e-06
cwe_id_CWE-611,4.187412532498353e-06
cwe_id_CWE-23,4.125376533318017e-06
